"Story","Title","Result","Date","Stability","Duration (s)"
"Acessar a página inicial do sistema Leiloes","Acessar a pagina inicial","PENDING","2018-05-27T06:52:34.377-03:00[America/Sao_Paulo]","0.0","22.46"
"Acessar a página usuarios do sistema Leiloes","Acessar a pagina Usuarios","PENDING","2018-05-27T06:52:56.84-03:00[America/Sao_Paulo]","0.0","6.52"
